model;year;price;Transmission;mileage;fuelType;engineSize
MarutiSwiftDzireVDIBS;2012;441299;MANUAL;70192;Diesel;1
MarutiErtiga;2015;605499;MANUAL;24825;Diesel;1
MarutiSwift;2014;433099;MANUAL;79144;Diesel;1
MarutiSwiftLXI;2015;366699;MANUAL;73411;Petrol;1
MahindraTUV300;2017;528099;MANUAL;50455;Diesel;1
MarutiAlto;2008;173399;MANUAL;29879;Petrol;1
MarutiOMNIE8;2017;354599;KA02;4110;Petrol;1
HyundaiCreta1.6SXPLUS;2016;894499;HR26;56895;Petrol;1
HyundaiCreta1.6E+;2019;925999;MANUAL;9294;Petrol;1
Hyundaii20SPORTZ1.2;2013;291899;MANUAL;63467;Petrol;1
SkodaFabiaELEGANCE1.2;2010;227999;MANUAL;64274;Petrol;1
MarutiSwift;2014;388499;MANUAL;72754;Diesel;1
MarutiSwiftLXI;2009;109199;MANUAL;98656;Petrol;1
RenaultKwidRXT;2016;301599;MANUAL;40290;Petrol;1
HyundaiGrandi10MAGNA1.2KAPPA;2014;335499;MANUAL;42170;Petrol;1
HondaAmaze1.2VXMTI;2013;321799;MANUAL;45278;Petrol;1
RenaultKwidRXT1.0EASY-R;2016;365099;KA50;12255;Petrol;1
MarutiSwift;2013;371399;MANUAL;60422;Diesel;1
Hyundaii10MAGNA1.2;2013;248599;MANUAL;210904;Petrol + CNG;1
MarutiAltoK10LXI;2016;389703;MANUAL;23963;Petrol + CNG;1
MarutiDzire;2017;691699;MANUAL;11404;Petrol;1
RenaultKwid;2016;379999;MANUAL;38933;Petrol;1
RenaultDuster85PS;2013;322068;MANUAL;103665;Diesel;1
MahindraXUV500;2018;1167456;MANUAL;49189;Diesel;1
VolkswagenPoloHIGHLINE1.5L;2015;592599;MANUAL;59325;Diesel;1
MarutiSwiftVDI;2015;429499;MANUAL;66476;Diesel;1
MarutiCelerio;2015;232199;MANUAL;148559;Diesel;1
Hyundaii10SPORTZ1.2;2012;305199;MANUAL;114748;Petrol;1
MahindraXUV500W8;2015;889799;MANUAL;84778;Diesel;1
MarutiWagonR1.0;2012;250499;MANUAL;98462;Petrol;1
VolkswagenPoloTRENDLINE1.2L;2012;206083;MANUAL;73625;Diesel;1
HyundaiEonERA;2013;186399;MANUAL;129837;Petrol + CNG;1
HondaAmaze1.5SXMTI;2014;370899;MANUAL;113188;Diesel;1
Hyundaii10MAGNA1.1;2013;221199;MANUAL;33582;Petrol;1
MarutiWagonR1.0;2013;310199;MANUAL;48335;Petrol;1
MarutiCiazDELTA1.5SHVSVVT;2018;819699;DL4C;17483;Petrol;1
BMWX1SDRIVE;2013;1011799;AUTOMATIC;63035;Diesel;1
HyundaiVernaFLUIDIC1.6SXVTVT;2011;270500;MANUAL;71292;Petrol;1
MarutiSwiftVDI;2015;419699;MANUAL;46856;Diesel;1
HyundaiSantroXingGL;2014;254899;MANUAL;20500;Petrol + CNG;1
Hyundaii20SPORTZ1.2;2011;309599;MANUAL;78129;Petrol;1
Hyundaii10MAGNA1.1;2013;264950;MANUAL;57657;Petrol;1
TataTiagoXZ1.05;2017;336599;MANUAL;125598;Diesel;1
MarutiRitzVXIABS;2014;282599;AUTOMATIC;45651;Petrol;1
HondaCitySVMT;2019;861999;MANUAL;28213;Petrol;1
MarutiAlto800;2012;274599;MANUAL;24679;Petrol;1
MarutiAltoK10;2015;214599;MANUAL;58304;Petrol;1
MarutiBalenoALPHA1.2;2016;556999;MANUAL;16232;Petrol;1
MarutiSwiftDzireVXI1.2BS;2015;459599;MANUAL;70649;Petrol;1
HyundaiGrandi10SPORTZ1.2KAPPA;2016;436399;MANUAL;247836;Petrol;1
MarutiSwiftDzireVXI1.2BS;2013;384799;MANUAL;95093;Petrol;1
ToyotaCorollaH31.8;2007;144099;MANUAL;98229;Petrol;1
TataNEXONXZ+;2018;657699;MANUAL;21127;Petrol;1
MarutiSwiftDzireVDIBS;2014;516399;MANUAL;32957;Diesel;1
HyundaiCreta1.6CRDISXPLUS;2016;1188855;AUTOMATIC;108963;Diesel;1
HyundaiGrandi10SPORTS1.2;2016;436499;MANUAL;6587;Petrol;1
RenaultKwid;2016;304827;MANUAL;9495;Petrol;1
Hyundaii10SPORTZ1.2;2010;199500;AUTOMATIC;56973;Petrol;1
MarutiSwift;2009;281699;MANUAL;163408;Diesel;1
MarutiBalenoDELTADDIS;2016;597099;MANUAL;32865;Diesel;1
MarutiWagonR1.0;2015;408399;MANUAL;31796;Petrol;1
HondaCitySMT;2010;398999;MANUAL;75713;Petrol + CNG;1
HondaAmaze1.2SMTI;2018;552899;MANUAL;14358;Petrol;1
HyundaiGrandi10MAGNA1.2KAPPA;2017;480699;MANUAL;10172;Petrol;1
FiatGrandPuntoACTIVE;2014;291099;MANUAL;46437;Diesel;1
HyundaiEonMAGNA;2014;300799;MANUAL;26754;Petrol;1
HondaAmaze1.5EMTI;2015;409299;MANUAL;123934;Diesel;1
RenaultDuster85PS;2013;305864;MANUAL;93733;Diesel;1
MarutiSwiftDzireVDIBS;2014;335700;MANUAL;89383;Diesel;1
MarutiAlto;2008;111799;MANUAL;98526;Petrol;1
MarutiAlto;2011;171299;MANUAL;13966;Petrol;1
MarutiSwiftLDIBS;2012;246500;MANUAL;123852;Diesel;1
MarutiEeco7;2018;289299;MANUAL;27741;Petrol;1
MarutiSwift;2019;710064;MANUAL;12889;Petrol;1
HyundaiXcentSX;2015;404099;MANUAL;92011;Petrol;1
MarutiAlto;2009;133599;MANUAL;72725;Petrol;1
MarutiAlto800;2017;281399;MANUAL;11110;Petrol;1
RenaultDuster85PS;2014;458899;MANUAL;94775;Diesel;1
HyundaiXcentS1.2;2015;451244;MANUAL;78612;Petrol + CNG;1
RenaultDuster85PS;2015;507799;MANUAL;171979;Diesel;1
MarutiSwiftDzireVDIBS;2010;297299;MANUAL;160205;Diesel;1
MarutiAlto;2008;206599;MANUAL;45476;Petrol;1
RenaultKwidCLIMBER1.0;2017;315699;HR26;34616;Petrol;1
MarutiAlto800;2015;260240;MANUAL;67833;Petrol;1
RenaultKwidRXT1.0EASY-R;2017;406999;KA53;24005;Petrol;1
HyundaiEonMAGNA;2013;218399;MANUAL;56350;Petrol;1
TataTiagoXZ1.2;2018;526099;MANUAL;25034;Petrol;1
MarutiAlto800;2015;299799;MANUAL;38472;Petrol;1
HyundaiGrandi10MAGNA1.2KAPPA;2016;429299;MANUAL;45391;Petrol;1
Hyundaii20SPORTZO1.4;2012;354899;MANUAL;98304;Diesel;1
TataNEXONXM;2019;834599;MANUAL;1424;Petrol;1
MarutiVitaraBrezza;2016;584199;MANUAL;59715;Diesel;1
MarutiAlto800;2016;343899;MANUAL;23598;Petrol;1
HyundaiSantroXingGL;2012;250699;MANUAL;39601;Petrol;1
HondaCity1.5EMT;2012;396199;MH02;74247;Petrol;1
ToyotaEtiosVX;2012;309199;MANUAL;52194;Diesel;1
HondaAmaze1.2SMTI;2018;631799;MANUAL;10129;Petrol;1
MarutiAlto800;2016;254199;MANUAL;12702;Petrol;1
HyundaiSantroXingXOERLXEURO;2007;224499;MANUAL;69390;Petrol;1
MarutiErtigaVDI;2017;736599;MANUAL;25046;Diesel;1
MarutiBalenoDELTA1.2;2017;539599;MANUAL;27670;Petrol;1
HyundaiAccentEXECUTIVE;2012;169955;MANUAL;136284;Petrol + CNG;1
MarutiAltoK10;2014;320299;MANUAL;65190;Petrol;1
HondaCitySMT;2011;420300;MANUAL;65403;Petrol;1
FordFigo1.2TITANIUM;2010;266186;MANUAL;81196;Petrol;1
MarutiSCrossSIGMA;2015;505399;MANUAL;85657;Diesel;1
RenaultKwidRXT1.0EASY-RAT;2017;384199;AUTOMATIC;22247;Petrol;1
HondaCityVMT;2014;639999;MANUAL;48559;Petrol;1
MarutiAltoK10VXI;2015;297799;MH05;29156;Petrol;1
HondaBrio1.2SMTI;2012;286599;MANUAL;18255;Petrol;1
MarutiBalenoDELTA1.2;2018;630899;MANUAL;10055;Petrol;1
MarutiAltoK10;2017;343999;MANUAL;11976;Petrol;1
MarutiVitaraBrezzaZDI+;2018;898099;AUTOMATIC;16194;Diesel;1
VolkswagenPoloHIGHLINE1.2L;2013;290799;MANUAL;120996;Diesel;1
MarutiEeco5STRWITHAC;2017;413999;MANUAL;21932;Petrol;1
MarutiAlto800;2016;345199;MANUAL;8526;Petrol;1
HondaAmaze1.5EMTI;2014;380240;MANUAL;55490;Diesel;1
MarutiDzireVXI;2017;560999;AUTOMATIC;42167;Petrol;1
MarutiAlto800;2013;244180;MANUAL;66047;Petrol;1
HyundaiGrandi10SPORTS1.2;2016;374435;MANUAL;56923;Petrol;1
RenaultDusterRXZAMT110;2016;701799;AUTOMATIC;130303;Diesel;1
Hyundaii20MAGNAO1.4;2013;346099;MANUAL;75654;Diesel;1
HyundaiGrandi10SPORTZ1.2KAPPA;2014;322699;MANUAL;66962;Petrol;1
RenaultKwid;2018;354229;MANUAL;9895;Petrol;1
FordNewFigo1.5TITANIUMAT;2018;549399;PB91;11328;Petrol;1
SkodaSuperbELEGANCETDI2.0;2012;494115;DL8C;119652;Diesel;1
HondaCityV;2012;418599;AUTOMATIC;50304;Petrol;1
Hyundaii20SPORTZ1.2;2012;341799;MANUAL;38013;Petrol;1
MahindraXUV500;2015;945699;MANUAL;72363;Diesel;1
HyundaiXcentS;2015;441599;MANUAL;40878;Petrol;1
TataTiagoXZ1.2;2016;378099;MANUAL;69312;Petrol;1
MarutiCelerioVXI(O);2016;469299;AUTOMATIC;23482;Petrol;1
HyundaiElitei20ASTA1.4;2015;494699;MANUAL;137913;Diesel;1
MarutiSwiftZXI;2018;632999;AUTOMATIC;37208;Petrol;1
MarutiSwiftDzireZXI1.2BS;2015;595399;MANUAL;58291;Petrol;1
MarutiSwiftDzireVXI1.2BS;2012;296500;MANUAL;40302;Petrol;1
HyundaiElitei20ASTA1.2;2017;585299;MANUAL;18711;Petrol;1
MarutiBalenoDELTA1.2;2016;503399;MANUAL;42568;Petrol;1
MarutiWagonR1.0;2010;166999;MANUAL;48954;Petrol;1
MarutiWagonRVXIBS;2007;127599;MANUAL;65402;Petrol;1
MarutiWagonR;2010;283199;MANUAL;76036;Petrol;1
MarutiAltoK10;2016;260899;MANUAL;24013;Petrol;1
BMW3Series;2011;534399;AUTOMATIC;63649;Diesel;1
ToyotaEtiosLiva;2012;326356;MANUAL;133608;Diesel;1
HondaCityVMT;2009;262499;MANUAL;80190;Petrol;1
MahindraTUV300;2017;513299;MANUAL;90651;Diesel;1
MarutiSwiftDzireVXI1.2BS;2012;357799;MANUAL;53264;Petrol;1
MarutiZenEstilo;2010;172599;MANUAL;47307;Petrol;1
MarutiSwiftDzireVDIBS;2011;357799;MANUAL;121017;Diesel;1
MarutiSwift;2012;391099;MANUAL;164757;Diesel;1
HondaAccord2.4ATI;2008;306999;AUTOMATIC;59142;Petrol;1
MarutiSwiftDzire;2013;408499;MANUAL;75468;Diesel;1
MarutiSwiftDzireVDIBS;2015;604299;MANUAL;59826;Diesel;1
MarutiAltoK10;2018;324099;MANUAL;17712;Petrol;1
MarutiAlto;2008;188147;MANUAL;44132;Petrol;1
MarutiCelerioVXI;2016;390499;MANUAL;60850;Petrol + CNG;1
HondaCitySMT;2009;297099;MANUAL;114682;Petrol;1
MarutiWagonR1.0VXI;2017;383199;AUTOMATIC;38639;Petrol;1
Hyundaii20MAGNA1.2;2009;287165;MANUAL;84373;Petrol;1
ToyotaEtios;2012;308799;MANUAL;43802;Diesel;1
TataNanoTWIST;2015;206899;AUTOMATIC;14401;Petrol;1
HyundaiGrandi10SPORTZ1.1;2013;315364;MANUAL;128627;Diesel;1
HondaCitySMT;2012;353999;MANUAL;83929;Petrol;1
MarutiDzire;2019;729299;MANUAL;21642;Diesel;1
MarutiAlto800LXI;2014;235599;MANUAL;66248;Petrol + CNG;1
FordFigo1.2ZXI;2011;194540;MANUAL;124564;Petrol;1
MarutiWagonR1.0;2013;356099;MANUAL;18584;Petrol;1
HyundaiGrandi10MAGNA1.2KAPPA;2014;344616;MANUAL;16316;Petrol;1
MarutiAltoK10;2012;200699;MANUAL;33423;Petrol;1
MercedesBenzGLAClass200CDI;2016;1654999;MANUAL;79207;Diesel;1
MarutiSwift;2011;311399;MANUAL;34524;Petrol;1
MarutiSwiftDzireVXI1.2BS;2014;416099;MANUAL;83575;Petrol;1
MarutiBalenoDELTA1.2;2019;604499;MANUAL;9862;Petrol;1
MarutiEeco5STRWITHAC;2019;458699;MANUAL;27277;Petrol + CNG;1
HondaBrio1.2SMTI;2012;272999;MANUAL;87755;Petrol;1
MarutiSwiftDzireVDIBS;2014;447072;MANUAL;88835;Diesel;1
RenaultKwidRXT;2016;347899;MANUAL;33732;Petrol;1
MarutiWagonR1.0;2015;350799;MANUAL;53279;Petrol;1
HondaAmaze1.5SMTI;2013;436299;MANUAL;70147;Diesel;1
HondaCitySMT;2009;241199;MANUAL;86866;Petrol;1
HyundaiVernaFLUIDIC1.6SXCRDI;2011;415299;MANUAL;129017;Diesel;1
HondaCityVMT;2010;300999;MANUAL;127472;Petrol + CNG;1
HyundaiElitei20SPORTZ(O);2014;617799;MANUAL;62516;Diesel;1
MarutiSwiftDzireVXI1.2BS;2014;365999;MANUAL;117248;Petrol;1
Hyundaii10MAGNA1.2;2009;330799;AUTOMATIC;26474;Petrol;1
MarutiAlto;2010;160099;MANUAL;44374;Petrol;1
HyundaiCreta1.6CRDISXPLUS;2017;1035199;AUTOMATIC;58298;Diesel;1
MarutiAlto800;2018;269099;MANUAL;58283;Petrol;1
MarutiAlto;2019;372799;MANUAL;13069;Petrol;1
MarutiWagonR1.0;2013;333999;MANUAL;39541;Petrol;1
HyundaiSantroXingGL;2014;286899;MANUAL;96552;Petrol + CNG;1
HondaCitySMT;2012;420399;MANUAL;46870;Petrol;1
MarutiCelerio;2016;388899;MANUAL;42704;Petrol;1
Hyundaii20Active1.2;2015;559592;MANUAL;53425;Petrol;1
VolkswagenPoloCOMFORTLINE1.2L;2017;604106;MANUAL;27276;Petrol;1
MarutiZenEstilo;2007;151899;MANUAL;45920;Petrol;1
TataIndicaVistaAURA1.3;2009;195299;MANUAL;150758;Diesel;1
RenaultKwid;2016;269639;MANUAL;36873;Petrol;1
MarutiAlto;2009;111699;MANUAL;91528;Petrol + LPG;1
MarutiSwiftLXI;2015;351099;MANUAL;36610;Petrol + CNG;1
MarutiSwift;2011;281999;MANUAL;133175;Diesel;1
VolkswagenPoloCOMFORTLINE1.2L;2013;317999;MANUAL;69745;Petrol;1
MarutiAlto;2008;156325;MANUAL;58267;Petrol;1
FordFigo1.2ZXI;2014;200628;MANUAL;35658;Petrol;1
RenaultKwidCLIMBER1.0;2018;414599;KA05;8969;Petrol;1
MarutiEeco5STRCNGWITH;2018;317799;MANUAL;46837;Petrol + CNG;1
MarutiWagonRStingray;2014;361499;MANUAL;9296;Petrol;1
MarutiWagonR1.0;2011;233499;MANUAL;117905;Petrol;1
MarutiSwift;2009;228599;MANUAL;190778;Diesel;1
Hyundaii10SPORTZ1.1;2015;324699;MANUAL;30532;Petrol;1
FordEcosport1.5TREND;2013;388180;MANUAL;62253;Diesel;1
MarutiSwiftDzireVXI1.2BS;2012;312799;MANUAL;40055;Petrol;1
MarutiSwiftDzire;2013;330099;MANUAL;90474;Diesel;1
MarutiAlto;2010;124299;MANUAL;39460;Petrol;1
MarutiAltoK10;2013;229499;MANUAL;25563;Petrol;1
HyundaiElitei20SPORTZ;2017;554899;MANUAL;68730;Diesel;1
HondaJazz1.2SV;2015;482299;MANUAL;22898;Petrol;1
MarutiBalenoDELTADDIS;2016;524699;MANUAL;43702;Diesel;1
SkodaRapidELEGANCE1.6MPFI;2014;483499;AUTOMATIC;65919;Petrol;1
MarutiErtigaVDI;2012;413099;MANUAL;91724;Diesel;1
MarutiRitz;2009;327999;MANUAL;54431;Petrol;1
HyundaiEonMAGNA;2013;194999;MANUAL;110501;Petrol;1
Hyundaii20SPORTZ1.2;2011;333499;MANUAL;44142;Petrol;1
MarutiSwift;2014;546799;MANUAL;24093;Petrol;1
HyundaiGrandi10ASTAAT1.2KAPPA;2015;451799;MANUAL;30537;Petrol;1
HyundaiVerna1.6SXVTVTAT;2018;1224699;AUTOMATIC;1827;Petrol;1
MarutiSwift;2012;313699;MANUAL;102024;Diesel;1
HondaCitySMT;2010;297867;MANUAL;39947;Petrol;1
RenaultDuster85PS;2015;551899;MANUAL;59607;Diesel;1
MarutiAlto;2009;150299;MANUAL;57358;Petrol;1
HondaCivic1.8V;2007;201208;MANUAL;61886;Petrol;1
Hyundaii20SPORTZ1.2;2012;279899;MANUAL;107384;Petrol;1
MarutiRitz;2009;143099;MANUAL;86813;Petrol;1
MarutiSwift;2012;450358;MANUAL;29624;Petrol;1
MarutiSwift;2012;318199;MANUAL;80935;Diesel;1
VolkswagenPoloCOMFORTLINE1.2L;2016;443699;MANUAL;60295;Petrol;1
HyundaiGrandi10SPORTZ1.2KAPPA;2016;421699;MANUAL;77031;Petrol;1
MarutiCiazVDI;2015;470599;MANUAL;78595;Diesel;1
HyundaiEon;2012;271999;MANUAL;65435;Petrol;1
MarutiErtigaVXISMART;2019;874599;GJ18;8816;Petrol;1
Hyundaii20SPORTZ1.2;2012;322799;MANUAL;56736;Petrol;1
MarutiEeco5STRCNGWITHAC;2017;293399;MANUAL;44254;Petrol + CNG;1
HyundaiCreta1.4EPLUS;2019;1070040;HR51;48507;Diesel;1
MarutiAlto;2007;189999;MANUAL;55899;Petrol;1
Hyundaii20SPORTZO1.4;2012;301399;MANUAL;87995;Diesel;1
Hyundaii10MAGNA1.2;2011;226599;MANUAL;48246;Petrol;1
MarutiErtigaVDI;2013;492724;MANUAL;51981;Diesel;1
MarutiCiazZETA1.4;2018;657499;MANUAL;47051;Petrol;1
HondaBrio1.2SMTI;2012;264999;MANUAL;108048;Petrol;1
HyundaiSantroXing;2013;298899;MANUAL;33828;Petrol;1
MarutiSwiftDzireVXI1.2BS;2013;312699;MANUAL;148847;Petrol;1
Hyundaii20ASTA1.4;2013;377799;MANUAL;69521;Diesel;1
MarutiCelerio;2019;451499;MANUAL;4370;Petrol;1
MarutiSwiftVXI;2019;748585;AUTOMATIC;10138;Petrol;1
MahindraXUV500W8;2014;707999;MANUAL;84226;Diesel;1
HondaAmaze1.5SMTI;2014;374500;MANUAL;89309;Diesel;1
MarutiWagonR1.0;2013;289499;MANUAL;68719;Petrol;1
MarutiBalenoALPHADDIS;2017;687299;MANUAL;61489;Diesel;1
MarutiSwiftDzireVDI;2016;655099;KA50;34078;Diesel;1
Hyundaii10SPORTZ1.2;2013;434399;MANUAL;20524;Petrol;1
RenaultKwidRXL1.0EASY-R;2017;351399;KA01;29546;Petrol;1
MahindraScorpio;2015;806599;MANUAL;50968;Diesel;1
MarutiSwiftDzireVDIBS;2014;520399;MANUAL;75129;Diesel;1
MarutiSwiftDzireVXI1.2BS;2012;336999;MANUAL;50834;Petrol;1
Hyundaii20MAGNAO;2010;197799;MANUAL;85191;Petrol;1
MarutiRitz;2011;313599;MANUAL;105576;Diesel;1
HondaAmaze1.5VXMTI;2013;393899;MANUAL;99296;Diesel;1
HondaJazz1.2V;2016;579399;AUTOMATIC;10430;Petrol;1
MarutiEeco5STRWITHAC;2017;356852;MANUAL;28319;Petrol + CNG;1
HondaJazz1.2BASEI;2011;275399;MANUAL;83659;Petrol;1
MarutiSwift;2013;353099;MANUAL;78289;Petrol + CNG;1
HondaAmaze1.5VXMTI;2013;333399;MANUAL;197997;Diesel;1
HyundaiGrandi101.2ASTA(O);2016;540762;AUTOMATIC;11636;Petrol;1
MarutiAltoK10;2016;267599;MANUAL;18946;Petrol;1
HondaBrio1.2SMTI;2013;235458;MANUAL;70498;Petrol;1
MarutiAlto800;2017;309199;MANUAL;19130;Petrol;1
HondaBrio1.2VMTI;2012;307559;MANUAL;58581;Petrol;1
MarutiSwiftVDIGlory;2015;540399;HR29;35499;Diesel;1
HondaCitySMT;2008;210834;MANUAL;194040;Petrol + CNG;1
MahindraScorpio;2014;921499;MANUAL;24847;Diesel;1
MarutiSwift;2014;437699;MANUAL;46070;Petrol;1
MarutiWagonR1.0LXI;2014;329299;MANUAL;32768;Petrol + CNG;1
MarutiAlto800;2015;272974;MANUAL;30871;Petrol;1
MarutiBalenoDELTA1.2;2016;548199;MANUAL;26568;Petrol;1
HondaAmaze1.2VXMTI;2013;343899;MANUAL;68821;Petrol;1
ToyotaInnova2.5GX8STRBS;2014;751199;MANUAL;80584;Diesel;1
Hyundaii20SPORTZ1.2;2010;229599;MANUAL;39306;Petrol;1
MarutiSwift;2009;229399;MANUAL;123493;Diesel;1
MarutiCelerioVXI;2015;409099;AUTOMATIC;55037;Petrol;1
MarutiWagonR1.0;2010;244506;MANUAL;60385;Petrol;1
HyundaiVernaFLUIDIC1.6SXCRDI;2013;420499;MANUAL;74271;Diesel;1
MarutiVitaraBrezza;2019;789304;MANUAL;32575;Diesel;1
VolkswagenVentoHIGHLINE;2010;252299;MANUAL;62752;Petrol;1
Hyundaii20SPORTZ1.2;2011;252499;MANUAL;131343;Petrol;1
DatsunRediGoT;2017;300899;MANUAL;4730;Petrol;1
MarutiSwiftVDI;2015;409199;MANUAL;62806;Diesel;1
MarutiIGNISZETA1.2K12;2017;526099;AUTOMATIC;19084;Petrol;1
MarutiZenEstilo;2008;116199;MANUAL;64268;Petrol;1
MarutiAltoK10;2015;313199;MANUAL;24612;Petrol;1
TataTiagoXZ1.2;2016;402647;MANUAL;24990;Petrol;1
Hyundaii10MAGNA;2009;209499;MANUAL;98364;Petrol;1
HondaCitySVMT;2014;518499;MANUAL;93529;Petrol;1
HondaCityVXCVT;2014;649499;AUTOMATIC;50552;Petrol;1
MarutiAltoK10;2011;173699;MANUAL;32089;Petrol;1
HondaBrio1.2V;2012;253499;AUTOMATIC;32830;Petrol;1
HondaBrio1.2VXMTI;2016;423299;MANUAL;56335;Petrol;1
MarutiSwift;2012;306720;MANUAL;66445;Diesel;1
MarutiCelerio;2014;269399;MANUAL;25807;Petrol;1
BMW3Series;2012;891599;AUTOMATIC;67267;Diesel;1
MarutiSwiftDzireVXI1.2BS;2012;364499;MANUAL;34414;Petrol;1
MarutiWagonR;2010;294599;MANUAL;60443;Petrol;1
Hyundaii10MAGNA1.1;2015;274799;MANUAL;44670;Petrol;1
MarutiSwiftDzireVDIBS;2014;406899;MANUAL;72388;Diesel;1
HyundaiNEWSANTROASTA1.1;2019;517199;KA05;6203;Petrol;1
VolkswagenPoloCOMFORTLINE1.2L;2016;380699;MANUAL;101779;Petrol;1
MarutiEeco5STRWITHAC;2018;410399;MANUAL;28457;Petrol;1
MarutiWagonR1.0;2014;289399;MANUAL;68927;Petrol;1
MarutiSwiftDzireVDIBS;2012;461599;MANUAL;38235;Diesel;1
MarutiWagonR1.0;2010;228099;MANUAL;93590;Petrol;1
HondaAmaze1.5SMTI;2013;296199;MANUAL;87405;Diesel;1
FordEcosport1.5AMBIENTE;2014;409599;MANUAL;104023;Diesel;1
MarutiEeco5STRWITHAC;2017;378499;MANUAL;24962;Petrol;1
HyundaiGrandi10ASTA1.1(O);2016;487799;MANUAL;33243;Diesel;1
MarutiWagonR1.0LXI;2014;312289;MANUAL;78330;Petrol + CNG;1
HondaAmaze1.5VXMTI;2013;318899;MANUAL;63748;Diesel;1
Hyundaii10MAGNA1.2;2013;346999;MANUAL;44802;Petrol;1
MarutiSwiftDzireVXI1.2BS;2012;330220;MANUAL;82666;Petrol;1
MarutiSwiftDzireVDIBS;2012;287999;MANUAL;74785;Diesel;1
MarutiWagonR1.0;2015;349899;MANUAL;30401;Petrol;1
MarutiSwiftVXI;2016;464510;MANUAL;27412;Petrol;1
MarutiSwiftDzireLXI1.2BS;2012;295362;MANUAL;41541;Petrol;1
MarutiWagonR1.0;2011;197438;MANUAL;64370;Petrol + CNG;1
MarutiVitaraBrezzaLDI;2016;583999;MANUAL;57304;Diesel;1
MarutiAlto;2011;228499;MANUAL;6943;Petrol;1
MarutiRitz;2009;203068;MANUAL;48907;Petrol;1
VolkswagenPoloHIGHLINE1.2L;2012;327099;MANUAL;77103;Diesel;1
ToyotaEtiosLivaD4D;2012;282199;MANUAL;87827;Diesel;1
MarutiSwiftDzireVXI1.2BS;2012;297199;MANUAL;52719;Petrol;1
MarutiWagonR1.0LXI;2015;358999;MANUAL;51564;Petrol + CNG;1
HondaCitySMT;2011;305199;MANUAL;98697;Petrol;1
VolkswagenVentoHIGHLINE;2011;264999;MANUAL;48128;Petrol;1
HyundaiEonERA;2018;315999;MANUAL;30522;Petrol;1
MarutiCelerioX;2018;432199;MANUAL;31973;Petrol;1
RenaultKwid;2016;316199;MANUAL;13865;Petrol;1
MarutiCelerioZXI;2015;435299;AUTOMATIC;34587;Petrol;1
MarutiSwift;2014;366899;MANUAL;103671;Diesel;1
HyundaiXcentS;2015;421608;MANUAL;29978;Petrol;1
MarutiAltoK10;2015;246499;MANUAL;95412;Petrol;1
MarutiAlto800;2018;269199;MANUAL;23280;Petrol;1
HyundaiCreta1.6SXPLUS;2016;1043299;HR26;56830;Petrol;1
MarutiBalenoDELTA1.2;2016;524199;MANUAL;20092;Petrol;1
Hyundaii20SPORTZ1.2;2012;481199;MANUAL;61801;Petrol;1
MarutiSwift;2017;528799;MANUAL;29075;Petrol;1
MarutiErtigaVDI;2018;931499;MANUAL;6993;Diesel;1
MarutiCelerioVXI;2016;333347;AUTOMATIC;51639;Petrol;1
HyundaiElitei20ASTA;2018;672599;MANUAL;11962;Petrol;1
HyundaiSantroXingGL;2014;258199;MANUAL;33437;Petrol;1
SkodaRapid1.6TDIMT;2013;353299;MANUAL;55140;Diesel;1
FordEcosport1.0ECOBOOST;2014;423799;MANUAL;35525;Petrol;1
MarutiAltoK10;2012;227299;MANUAL;61587;Petrol;1
Hyundaii10MAGNA1.2;2010;242599;MANUAL;56697;Petrol;1
VolkswagenVentoHIGHLINETDI;2016;616999;AUTOMATIC;88336;Diesel;1
RenaultKwidRXT1.0EASY-RAT;2018;443999;AUTOMATIC;17990;Petrol;1
HyundaiEonERA;2015;248499;MANUAL;50772;Petrol;1
HondaBrio1.2VXMTI;2015;317199;MANUAL;27624;Petrol;1
MarutiSwift;2012;311399;MANUAL;142099;Diesel;1
ToyotaFortuner3.0AT;2012;1054799;AUTOMATIC;172356;Diesel;1
MarutiSwift;2011;294046;MANUAL;81523;Petrol;1
MarutiSwiftDzireVXI1.2BS;2012;364499;MANUAL;45247;Petrol;1
HyundaiEonERA;2015;251899;MANUAL;40111;Petrol;1
MarutiRitzZXI;2015;518471;MANUAL;18966;Petrol;1
MarutiSwift;2013;286199;MANUAL;137850;Diesel;1
MarutiBalenoDELTA1.2;2016;499799;MANUAL;45880;Petrol;1
MarutiCelerioVXI;2018;444144;MANUAL;109531;Petrol + CNG;1
MarutiSwiftVXI;2017;592875;MANUAL;35078;Petrol;1
HyundaiElitei20ASTA;2018;745699;MANUAL;2594;Petrol;1
HyundaiSantroXing;2008;209499;MANUAL;43520;Petrol;1
MarutiEeco5STRCNGWITHAC;2018;335193;MANUAL;52886;Petrol + CNG;1
HyundaiCreta1.4EPLUS;2017;819099;DL10;55210;Diesel;1
MarutiSwiftDzireVDI;2017;634699;MH04;34247;Diesel;1
HondaAccord2.4ATI;2009;291099;AUTOMATIC;163326;Petrol;1
Hyundaii10ERA1.1;2013;227899;MANUAL;21614;Petrol;1
MarutiAltoK10VXI(O);2018;426899;KA05;6111;Petrol;1
HondaCityV;2018;979661;UP14;119791;Petrol;1
RenaultDuster85PSRXL;2014;413600;MANUAL;63803;Diesel;1
MarutiDzire;2017;612699;MANUAL;4595;Petrol;1
MarutiRitz;2010;160399;MANUAL;116148;Petrol;1
