model;year;price;Transmission;mileage;fuelType;engineSize
HyundaiVernaFLUIDIC1.6SXCRDI;2013;521499;MANUAL;41856;Diesel;1
MahindraScorpioS6;2016;977099;MANUAL;43867;Diesel;1
Hyundaii20MAGNA1.2;2009;181699;MANUAL;68656;Petrol;1
MarutiSwiftDzireLXI1.2BS;2013;456299;MANUAL;173110;Petrol + CNG;1
ToyotaEtios;2011;235499;MANUAL;114409;Diesel;1
NissanMicraXVPREMIUM;2012;348540;MANUAL;72949;Diesel;1
MarutiZenEstilo;2010;222252;MANUAL;43196;Petrol;1
MarutiAltoK10;2014;305199;MANUAL;50294;Petrol;1
HyundaiGrandi10SPORTZ(O)1.2AT;2017;492599;MH05;85389;Petrol;1
MarutiAlto;2009;236300;MANUAL;102742;Petrol;1
VolkswagenPoloHIGHLINE1.2L;2014;283399;MANUAL;114877;Diesel;1
MarutiWagonR1.0LXICNG;2017;424099;MANUAL;20570;Petrol + CNG;1
MarutiVitaraBrezza;2019;779699;MANUAL;37265;Diesel;1
MarutiVitaraBrezza;2019;756299;MANUAL;39833;Diesel;1
HondaAmaze1.2SMTI;2013;345499;MANUAL;58944;Petrol;1
HyundaiVernaFLUIDIC1.6SX;2013;354799;MANUAL;119265;Petrol;1
HyundaiGrandi10ASTAAT1.2KAPPA;2016;443499;MANUAL;90217;Petrol;1
ToyotaInnova2.5GX8STRBS;2013;787499;MANUAL;147140;Diesel;1
HyundaiElitei20ASTA;2017;595299;MANUAL;35045;Petrol;1
HondaAmaze1.2SMTI;2014;397299;MANUAL;38790;Petrol;1
MarutiAlto800;2018;309399;MANUAL;8105;Petrol;1
Hyundaii20MAGNAO1.4;2013;406788;MANUAL;78618;Diesel;1
HyundaiSantroXing;2008;116766;MANUAL;63586;Petrol;1
MarutiSwift;2013;406799;MANUAL;34459;Petrol;1
MarutiBalenoDELTA1.2;2017;551799;MANUAL;40382;Petrol;1
DatsunRediGo;2016;184383;MANUAL;31153;Petrol;1
HondaBrio1.2SMTI;2012;306499;MANUAL;43469;Petrol;1
HondaCityVMT;2009;227399;MANUAL;148906;Petrol;1
HondaCity1.5V;2019;910099;MANUAL;12538;Petrol;1
MarutiSwift;2013;428599;MANUAL;53390;Petrol;1
HyundaiGrandi10SPORTZ1.2KAPPA;2014;410740;MANUAL;65299;Petrol;1
MarutiAlto800;2016;225899;MANUAL;39630;Petrol;1
MarutiSwiftDzireVXI1.2BS;2011;335199;MANUAL;70252;Petrol;1
Hyundaii20MAGNAO;2011;221899;MANUAL;55760;Petrol;1
RenaultLodgy110PSRXZ8;2015;503799;MANUAL;34812;Diesel;1
MarutiAlto;2007;78799;MANUAL;57895;Petrol + CNG;1
Hyundaii20MAGNAO;2010;211699;MANUAL;84826;Petrol;1
MarutiSwift;2012;562599;MANUAL;31999;Petrol;1
HyundaiGrandi10SPORTZ1.2KAPPA;2016;451699;MANUAL;13349;Petrol;1
ChevroletCruzeLTZ;2011;325199;AUTOMATIC;98989;Diesel;1
RenaultKwid;2018;321799;MANUAL;5160;Petrol;1
MarutiVitaraBrezzaZDI;2018;951099;MANUAL;28572;Diesel;1
HyundaiXcentS;2014;336099;MANUAL;75891;Petrol;1
HondaCityV;2012;391499;AUTOMATIC;113241;Petrol;1
MarutiWagonR1.0;2018;343899;MANUAL;17101;Petrol;1
HyundaiVernaFLUIDIC1.6SX;2012;322999;MANUAL;84048;Diesel;1
FordEcosport1.5TITANIUM;2014;439299;MANUAL;152554;Diesel;1
ToyotaEtiosLivaGD;2013;393660;MANUAL;97467;Diesel;1
MarutiNewWagon-RLXI1.0;2019;478399;DL5C;13185;Petrol;1
MarutiRitzVXIBS;2010;196999;MANUAL;114109;Petrol;1
MarutiSwiftVDI;2015;566399;MANUAL;70952;Diesel;1
MarutiSwiftDzireVDIBS;2013;335599;MANUAL;80394;Diesel;1
MarutiRitzVXI;2009;208199;MANUAL;56276;Petrol;1
HyundaiElitei20MAGNA1.4;2015;588399;MANUAL;110531;Diesel;1
HyundaiGrandi10ERA1.2;2014;345799;MANUAL;23794;Petrol;1
MarutiWagonR1.0LXI;2015;242499;MANUAL;88514;Petrol + CNG;1
HondaCitySMT;2009;242299;MANUAL;76901;Petrol;1
MarutiSwiftVXI;2008;241699;MANUAL;103401;Petrol;1
HyundaiSantroXingGL;2011;288099;MANUAL;55945;Petrol;1
HyundaiGrandi10MAGNA1.2;2013;303399;MANUAL;106064;Petrol;1
HyundaiElitei20SPORTZ;2016;544699;MANUAL;35153;Petrol;1
MarutiSwiftDzireVXI1.2BS;2013;354699;MANUAL;135829;Petrol;1
HyundaiElitei20SPORTZ;2016;552899;MANUAL;58361;Petrol + CNG;1
MarutiRitzVXIBS;2014;294599;MANUAL;45465;Petrol;1
HyundaiVernaFLUIDIC1.6SX;2013;415499;MANUAL;49718;Diesel;1
MarutiEeco5STRWITHAC;2017;389899;MANUAL;32883;Petrol;1
HyundaiSantroXingXOERLXEURO;2007;215599;MANUAL;82791;Petrol;1
Hyundaii20MAGNAO;2011;235699;MANUAL;71611;Petrol;1
MarutiCiazVDI;2014;491399;MANUAL;103867;Diesel;1
HyundaiElitei20SPORTZ;2016;554899;MANUAL;109448;Diesel;1
MarutiSwiftDzire;2010;281499;MANUAL;97436;Diesel;1
MarutiAStar;2010;199899;MANUAL;68714;Petrol;1
MahindraScorpio;2017;1117599;MANUAL;72706;Diesel;1
MarutiSwiftDzire;2008;193499;MANUAL;89412;Petrol;1
ToyotaEtios;2011;262499;MANUAL;170425;Petrol;1
RenaultDusterRXZ85PS;2017;867399;MANUAL;32783;Diesel;1
MarutiVitaraBrezza;2019;935399;MANUAL;4566;Diesel;1
MarutiDzireVDI;2018;653399;AUTOMATIC;13492;Diesel;1
MarutiCelerioVXI;2018;475299;MANUAL;20324;Petrol + CNG;1
MarutiErtiga;2014;479999;MANUAL;62769;Petrol;1
HondaBrio1.2SMTI;2015;338799;MANUAL;29104;Petrol;1
MarutiSwiftDzireVDIBS;2012;333099;MANUAL;95472;Diesel;1
HondaCityVXMT;2015;606399;MANUAL;90509;Petrol;1
DatsunGoREMIX;2018;330699;TN02;34119;Petrol;1
MarutiSwift;2019;661399;MANUAL;27055;Petrol;1
